Index: Init, Total -- indiv
10396: 3060.0, 2422.117 -- [ 2211.51    210.607]
10741: 3060.0, 2089.548 -- [  152.288  1937.26 ]
10782: 3060.0, 1706.484 -- [  320.694  1385.79 ]
10894: 3060.0, 3060.004 -- [  143.984  2916.02 ]
10912: 3060.0, 3060.0029999999997 -- [ 2812.12    247.883]
10962: 3060.0, 1795.634 -- [ 950.212  683.561  161.861]
11005: 3060.0, 857.466 -- [ 511.601  345.865]
11234: 3060.0, 3059.9990000000003 -- [  288.949  2771.05 ]
11263: 3060.0, 399.5845 -- [  53.1035  346.481 ]
11304: 3060.0, 3059.995 -- [  237.025  2822.97 ]
11517: 3060.0, 469.721 -- [  15.285  454.436]
11596: 3060.0, 2678.447 -- [  125.347  2553.1  ]
11673: 3060.0, 3012.9300000000003 -- [ 2568.15   444.78]
11817: 3060.0, 1398.7559999999999 -- [ 1337.04     61.716]
11945: 3060.0, 2216.468 -- [ 2019.09    197.378]
11964: 3060.0, 2855.469 -- [  201.159  2654.31 ]
11977: 3060.0, 3059.998 -- [ 2344.53    715.468]
12261: 3060.0, 1997.5651 -- [   55.2651  1942.3   ]
12662: 3060.0, 3059.995 -- [  265.345  2794.65 ]
12733: 3060.0, 98.0121 -- [  8.0426  89.9695]
12740: 3060.0, 2241.015 -- [ 2032.34    208.675]
12834: 3060.0, 484.7002 -- [ 132.803   291.982    59.9152]
12847: 3060.0, 1078.794 -- [ 723.681  355.113]
12912: 3060.0, 2965.30978 -- [    5.26978  2960.04   ]
12948: 3060.0, 2475.079 -- [ 2310.92    164.159]
12957: 3060.0, 3059.99935 -- [  246.012       7.38735  2806.6    ]
13086: 3060.0, 2919.823 -- [  173.433  2746.39 ]
13234: 3060.0, 2476.475 -- [  137.505  2338.97 ]
13384: 3060.0, 1789.6490000000001 -- [  188.519  1601.13 ]
13554: 3060.0, 2855.2360000000003 -- [  126.166  2729.07 ]
13612: 3060.0, 1997.567 -- [  111.957  1885.61 ]
13805: 3060.0, 1567.8215 -- [ 1554.89      12.9315]
13827: 3060.0, 3059.9959999999996 -- [  338.316  2721.68 ]
13860: 3060.0, 3059.9990000000003 -- [  246.409  2813.59 ]
13871: 3060.0, 1337.4270000000001 -- [  134.237  1203.19 ]
14001: 3060.0, 3059.996 -- [ 2894.11    165.886]
14300: 3060.0, 2128.116 -- [ 1955.14    172.976]
14438: 3060.0, 3059.9970000000003 -- [ 2786.86    273.137]
14456: 3060.0, 1439.7692 -- [ 1406.31      33.4592]
14462: 3060.0, 3060.002 -- [ 2681.12    378.882]
14518: 3060.0, 2779.983 -- [  108.083  2671.9  ]
14540: 3060.0, 1950.943 -- [  119.523  1831.42 ]
14770: 3060.0, 544.3732 -- [ 512.356    32.0172]
14928: 3060.0, 1445.4070000000002 -- [  253.197  1192.21 ]
15013: 3060.0, 2684.529 -- [ 2570.52    114.009]
15235: 3060.0, 3060.001 -- [ 2919.54    140.461]
15373: 3060.0, 2163.025 -- [  618.475  1544.55 ]
15774: 3060.0, 2558.317 -- [ 2515.83     42.487]
15902: 3060.0, 2653.775 -- [  144.735  2509.04 ]
15911: 3060.0, 2127.733 -- [ 1980.44    147.293]
16039: 3060.0, 932.6099999999999 -- [ 120.642  811.968]
16067: 3060.0, 2895.2250999999997 -- [   39.7351  2855.49  ]
16072: 3060.0, 3060.0040000000004 -- [  433.454  2626.55 ]
16121: 3060.0, 3060.0029999999997 -- [ 2870.18    189.823]
16171: 3060.0, 2620.524 -- [  676.414  1944.11 ]
16205: 3060.0, 3059.9950000000003 -- [  190.925  2869.07 ]
16322: 3060.0, 2855.249 -- [ 2696.22    159.029]
16325: 3060.0, 1088.4678999999999 -- [ 1014.8       73.6679]
16363: 3060.0, 2863.941 -- [ 2664.02    199.921]
16404: 3060.0, 930.4929999999999 -- [ 395.67   534.823]
16531: 3060.0, 1208.3208000000002 -- [   50.1908  1158.13  ]
16616: 3060.0, 1945.172 -- [ 1239.85    705.322]
16683: 3060.0, 2561.1081 -- [ 2498.77      62.3381]
16738: 3060.0, 1126.896 -- [ 739.015  387.881]
16768: 3060.0, 2298.754 -- [ 1992.39    306.364]
16773: 3060.0, 2355.067 -- [ 2247.45    107.617]
16957: 3060.0, 1295.4614 -- [   36.4714  1258.99  ]
17118: 3060.0, 621.415 -- [ 450.467  170.948]
17534: 3060.0, 2848.1683 -- [ 2790.12      58.0483]
17609: 3060.0, 2062.29 -- [ 1812.97   249.32]
17747: 3060.0, 2822.382 -- [ 1987.95    834.432]
17757: 3060.0, 2564.639 -- [  574.719  1989.92 ]
17917: 3060.0, 2833.22 -- [ 2467.68   365.54]
18036: 3060.0, 3060.0019 -- [ 2967.48      92.5219]
18041: 3060.0, 2607.96381 -- [ 2599.5         8.46381]
18150: 3060.0, 3060.0009999999997 -- [ 2515.68    544.321]
18193: 3060.0, 3059.995 -- [  266.035  2793.96 ]
18259: 3060.0, 3059.999 -- [ 2861.29    198.709]
18420: 3060.0, 3060.0049999999997 -- [ 2896.93    163.075]
18616: 3060.0, 1068.0686999999998 -- [ 1066.6        1.4687]
18782: 3060.0, 1596.899 -- [   16.559  1580.34 ]
18822: 3060.0, 2543.81 -- [   70.02  2473.79]
18856: 3060.0, 1079.786 -- [ 894.908  184.878]
18857: 3060.0, 3060.005 -- [  118.225  2941.78 ]
18895: 3060.0, 894.392 -- [ 174.661  719.731]
18967: 3060.0, 2377.138 -- [  133.868  2243.27 ]
18975: 3060.0, 2862.069 -- [ 2737.47    124.599]
19386: 3060.0, 2269.405 -- [ 2133.65    135.755]
19493: 3060.0, 2482.9757483000003 -- [  9.57483000e-02   2.48288000e+03]
19496: 3060.0, 577.6785 -- [ 332.797    27.7635  217.118 ]
19506: 3060.0, 2345.6639999999998 -- [ 1496.72    848.944]
19645: 3060.0, 2374.572 -- [  387.822  1986.75 ]
19818: 3060.0, 2872.5809000000004 -- [ 2859.07      13.5109]
19849: 3060.0, 2155.788 -- [  104.648  2051.14 ]
19928: 3060.0, 2401.17239 -- [  2.39940000e+03   1.77239000e+00]
20114: 3060.0, 3060.002 -- [  126.462  2933.54 ]
