Index: Init, Total -- indiv
293934: 3060.0, 3060.0 -- [  227.35  2832.65]
294038: 3060.0, 2240.36 -- [ 1947.93   292.43]
294163: 3060.0, 3059.996 -- [ 2819.35    240.646]
294211: 3060.0, 1636.0459999999998 -- [ 681.396  954.65 ]
294398: 3060.0, 557.2837000000001 -- [  10.7137  546.57  ]
294501: 3060.0, 3021.769 -- [  160.249  2861.52 ]
294588: 3060.0, 3060.003 -- [  176.223  2883.78 ]
294601: 3060.0, 3060.0049999999997 -- [  365.305  2694.7  ]
294631: 3060.0, 3060.001 -- [  209.331  2850.67 ]
294908: 3060.0, 2908.595 -- [ 2724.58    184.015]
295035: 3060.0, 3060.002 -- [  393.192  2666.81 ]
295040: 3060.0, 3060.002 -- [  220.932  2839.07 ]
295273: 3060.0, 2717.75827 -- [  2.71599000e+03   1.76827000e+00]
295643: 3060.0, 3060.002 -- [  164.552  2895.45 ]
295936: 3060.0, 3060.001 -- [  263.471  2796.53 ]
296096: 3060.0, 1570.687 -- [  163.667  1407.02 ]
296115: 3060.0, 3059.996 -- [ 2886.96    173.036]
296133: 3060.0, 2782.1003499999997 -- [ 2776.74        5.36035]
296171: 3060.0, 2765.9689000000003 -- [ 2693.76      72.2089]
296251: 3060.0, 2656.5594 -- [   15.5094  2641.05  ]
296253: 3060.0, 2235.393 -- [  199.793  2035.6  ]
296305: 3060.0, 2607.2998000000002 -- [ 2577.82      29.4798]
296463: 3060.0, 1213.454 -- [ 1074.59    138.864]
296710: 3060.0, 3060.002 -- [ 2788.83    215.091    56.081]
296732: 3060.0, 3059.996 -- [ 2918.63    141.366]
296823: 3060.0, 2702.787 -- [ 2284.87    417.917]
296845: 3060.0, 837.0939999999999 -- [ 135.203  701.891]
297188: 3060.0, 2954.7019999999998 -- [ 2539.79    414.912]
297303: 3060.0, 2712.351 -- [  408.561  2303.79 ]
297314: 3060.0, 1987.2040000000002 -- [ 1219.17    768.034]
297467: 3060.0, 803.3264 -- [  60.2824  743.044 ]
297480: 3060.0, 3060.0040000000004 -- [ 2936.34    123.664]
297915: 3060.0, 2661.2367 -- [ 2628.97      32.2667]
297936: 3060.0, 2701.6531 -- [ 2690.11      11.5431]
297962: 3060.0, 3060.002 -- [ 2824.63    235.372]
297987: 3060.0, 3060.002 -- [  205.332  2854.67 ]
298225: 3060.0, 3060.0 -- [  168.57  2891.43]
298334: 3060.0, 2763.9300000000003 -- [ 1987.38   776.55]
298381: 3060.0, 2023.488 -- [  138.548  1884.94 ]
298383: 3060.0, 2261.419 -- [ 1447.47    813.949]
298387: 3060.0, 1231.419 -- [ 1071.65    159.769]
298817: 3060.0, 2345.592 -- [ 2119.23    226.362]
298924: 3060.0, 2515.642 -- [  152.192  2363.45 ]
299072: 3060.0, 3059.997 -- [ 2822.68    237.317]
299268: 3060.0, 2419.341 -- [  293.051  2126.29 ]
299599: 3060.0, 3059.995 -- [  660.595  2399.4  ]
299638: 3060.0, 765.0609999999999 -- [ 652.616  112.445]
299766: 3060.0, 2655.8281 -- [   19.9681  2635.86  ]
299790: 3060.0, 2376.06852 -- [  2.37449000e+03   1.57852000e+00]
299838: 3060.0, 1451.1019999999999 -- [ 949.353  501.749]
299898: 3060.0, 962.2817 -- [  65.6807  896.601 ]
300049: 3060.0, 3059.998 -- [  299.332   183.906  2576.76 ]
300058: 3060.0, 614.9962 -- [ 526.267    88.7292]
300114: 3060.0, 1122.634 -- [   54.314  1068.32 ]
300252: 3060.0, 2877.6880000000006 -- [  211.365  2541.82    124.503]
300478: 3060.0, 2863.285 -- [ 2714.47    148.815]
300486: 3060.0, 2845.111 -- [  187.781  2657.33 ]
300699: 3060.0, 670.226 -- [ 431.127  239.099]
300751: 3060.0, 2788.9476 -- [ 2724.88      64.0676]
300782: 3060.0, 1921.938 -- [  137.198  1784.74 ]
300955: 3060.0, 2312.10403 -- [  128.891       9.39303  2173.82   ]
300961: 3060.0, 3060.00078 -- [ 2618.49        7.48878   434.022  ]
301037: 3060.0, 2279.7669 -- [   12.8769  2266.89  ]
301081: 3060.0, 3060.0 -- [  264.08  2795.92]
301452: 3060.0, 3059.9970000000003 -- [ 2551.19    508.807]
301604: 3060.0, 1820.123 -- [  216.743  1603.38 ]
301918: 3060.0, 3060.004 -- [ 2804.2     255.804]
301954: 3060.0, 79.0667 -- [ 22.398   56.6687]
301966: 3060.0, 3060.005 -- [ 2476.73    178.136   405.139]
301969: 3060.0, 3059.998 -- [  107.678  2952.32 ]
302178: 3060.0, 3060.005 -- [ 2890.5     169.505]
302249: 3060.0, 1099.9769999999999 -- [ 916.107  183.87 ]
302275: 3060.0, 3059.998 -- [ 2899.15    160.848]
302341: 3060.0, 2545.733 -- [  569.583  1976.15 ]
302354: 3060.0, 2815.394 -- [ 2131.12    684.274]
302501: 3060.0, 2171.903 -- [ 1920.01    251.893]
302532: 3060.0, 3060.0004 -- [ 2892.52      15.8594   151.621 ]
302563: 3060.0, 2399.137 -- [ 2072.26    326.877]
302605: 3060.0, 732.4268 -- [ 635.054    97.3728]
302639: 3060.0, 2670.388 -- [ 1769.12    901.268]
302728: 3060.0, 1291.5829999999999 -- [ 1160.6     130.983]
302739: 3060.0, 1655.451 -- [ 1473.84    181.611]
303101: 3060.0, 560.429 -- [ 309.568  250.861]
303291: 3060.0, 2449.2439 -- [ 2380.45      68.7939]
303294: 3060.0, 2497.9105 -- [   56.0605  2441.85  ]
303562: 3060.0, 304.823 -- [ 133.489  171.334]
303615: 3060.0, 2038.0 -- [  532.13  1505.87]
303708: 3060.0, 2786.90045 -- [ 2778.57        8.33045]
303818: 3060.0, 2800.0209999999997 -- [  193.671  2606.35 ]
303903: 3060.0, 1467.92 -- [ 1254.76   213.16]
303964: 3060.0, 1187.6583 -- [ 1163.89      23.7683]
304093: 3060.0, 3059.998 -- [ 2890.36    169.638]
304178: 3060.0, 3060.0020000000004 -- [  125.742  2934.26 ]
304228: 3060.0, 1792.983 -- [  480.963  1312.02 ]
304241: 3060.0, 3060.001 -- [ 2702.26    357.741]
304262: 3060.0, 2635.2332 -- [   65.9095    10.0437  2559.28  ]
304444: 3060.0, 3025.261 -- [ 2658.6     366.661]
304549: 3060.0, 1402.991 -- [  319.171  1083.82 ]
304913: 3060.0, 3059.996 -- [ 2914.23    145.766]
304932: 3060.0, 2985.683 -- [  457.403  2528.28 ]
304996: 3060.0, 1212.94 -- [ 1112.53   100.41]
305156: 3060.0, 1884.468 -- [ 1645.65    238.818]
305244: 3060.0, 2847.1581 -- [   24.3181  2822.84  ]
305298: 3060.0, 3059.9970000000003 -- [  220.296  2675.71    163.991]
305321: 3060.0, 1975.0748 -- [   14.1848  1960.89  ]
305345: 3060.0, 3060.0029999999997 -- [  174.343  2885.66 ]
305479: 3060.0, 2788.092 -- [   35.222  2752.87 ]
305988: 3060.0, 1155.3843900000002 -- [ 1151.41        3.97439]
306228: 3060.0, 2389.844 -- [   38.474  2351.37 ]
306337: 3060.0, 2975.096 -- [  492.656  2482.44 ]
306614: 3060.0, 2919.2130999999995 -- [   60.4939    12.5912   148.758   2697.37  ]
306893: 3060.0, 2190.205 -- [  109.995  2080.21 ]
307399: 3060.0, 2895.2706 -- [ 2797.72      97.5506]
307491: 3060.0, 2881.1730000000002 -- [  204.983  2676.19 ]
307529: 3060.0, 1547.7040000000002 -- [ 596.95   950.754]
307599: 3060.0, 3060.004 -- [ 2535.12    524.884]
307633: 3060.0, 229.5519 -- [ 217.719    11.8329]
307666: 3060.0, 3059.998 -- [ 2907.87    152.128]
307765: 3060.0, 2579.37 -- [ 1160.62  1418.75]
307790: 3060.0, 610.045 -- [ 401.416  208.629]
307872: 3060.0, 2874.4300000000003 -- [ 1502.93  1371.5 ]
308013: 3060.0, 3060.002 -- [ 2940.46    119.542]
308071: 3060.0, 3059.999 -- [  170.089  2889.91 ]
308201: 3060.0, 2940.92 -- [   30.15  2910.77]
308271: 3060.0, 2044.522 -- [ 1059.76    984.762]
308384: 3060.0, 2824.9410000000003 -- [  274.161  2550.78 ]
308802: 3060.0, 2252.419 -- [  134.429  2117.99 ]
308805: 3060.0, 2756.32737 -- [    8.20737  2748.12   ]
308811: 3060.0, 1676.7510000000002 -- [ 883.537  793.214]
309172: 3060.0, 1166.808 -- [ 706.576  460.232]
309183: 3060.0, 2772.9483999999998 -- [ 2674.31      98.6384]
309245: 3060.0, 2706.094 -- [ 2161.3     544.794]
309382: 3060.0, 2882.141 -- [ 2751.25    130.891]
309603: 3060.0, 3003.534 -- [ 2829.69    173.844]
309630: 3060.0, 2739.7973 -- [ 2581.96      25.6503   132.187 ]
309667: 3060.0, 3060.004 -- [  152.674  2907.33 ]
309808: 3060.0, 2608.629 -- [ 2475.21    133.419]
309811: 3060.0, 3059.998 -- [  449.658  2610.34 ]
309827: 3060.0, 519.34 -- [ 287.124  232.216]
309872: 3060.0, 2073.39724 -- [ 2064.5         8.89724]
309969: 3060.0, 2831.5429999999997 -- [ 2785.68     45.863]
310130: 3060.0, 2887.8233999999998 -- [ 2798.85      88.9734]
310139: 3060.0, 3060.004 -- [ 2894.35    165.654]
310280: 3060.0, 2938.828 -- [ 2717.36    221.468]
310682: 3060.0, 545.3933999999999 -- [  95.7704  449.623 ]
310732: 3060.0, 2352.483 -- [ 2098.01    254.473]
310765: 3060.0, 1573.911 -- [ 1523.03     50.881]
310802: 3060.0, 2696.183 -- [ 2017.57    678.613]
310976: 3060.0, 3059.999 -- [ 2554.24    142.58    363.179]
310992: 3060.0, 3060.001 -- [ 2419.83    640.171]
311005: 3060.0, 3059.998 -- [  236.818  2823.18 ]
311131: 3060.0, 2572.18 -- [  132.85  2439.33]
311139: 3060.0, 2946.807 -- [  126.397  2820.41 ]
311494: 3060.0, 2810.569 -- [  616.399  2194.17 ]
311569: 3060.0, 2275.1929999999998 -- [ 2003.34    271.853]
311675: 3060.0, 2122.913 -- [  120.933  2001.98 ]
311774: 3060.0, 1719.599 -- [ 1620.03     99.569]
311928: 3060.0, 1437.6335000000001 -- [ 1344.46      93.1735]
312018: 3060.0, 2870.59669 -- [  120.312    2746.29        3.99469]
312148: 3060.0, 254.2833 -- [ 165.696    88.5873]
312447: 3060.0, 2787.5957 -- [ 2732.29      55.3057]
312578: 3060.0, 3059.9950000000003 -- [ 2871.3     188.695]
312614: 3060.0, 2295.258 -- [  237.468  2057.79 ]
312671: 3060.0, 973.729 -- [ 803.158  170.571]
312729: 3060.0, 1714.1660000000002 -- [ 1580.66    133.506]
312841: 3060.0, 1263.7620000000002 -- [ 1034.39    229.372]
312878: 3060.0, 1487.655 -- [ 1380.61    107.045]
312918: 3060.0, 3059.9959999999996 -- [  224.046  2835.95 ]
313098: 3060.0, 1708.439 -- [ 1588.26    120.179]
313136: 3060.0, 2337.272 -- [  669.072  1668.2  ]
313141: 3060.0, 2864.1364 -- [ 2832.42      31.7164]
313313: 3060.0, 3060.005 -- [ 2897.25    162.755]
313393: 3060.0, 3059.996 -- [ 2905.85    154.146]
313525: 3060.0, 2975.5119999999997 -- [ 2807.22    168.292]
313536: 3060.0, 2402.6490000000003 -- [  343.389  2059.26 ]
313634: 3060.0, 1275.922 -- [ 565.622  710.3  ]
313668: 3060.0, 2911.9005 -- [ 2878.86      33.0405]
313755: 3060.0, 1335.825 -- [ 1222.53    113.295]
313874: 3060.0, 3060.003 -- [ 2809.36    250.643]
314048: 3060.0, 3060.0009999999997 -- [  401.921  2658.08 ]
314268: 3060.0, 3059.996 -- [ 2860.85    199.146]
314502: 3060.0, 3059.998 -- [  551.038  2508.96 ]
314507: 3060.0, 2841.939 -- [ 2452.95    388.989]
314591: 3060.0, 2047.1019999999999 -- [  112.512  1934.59 ]
314639: 3060.0, 2698.013 -- [  229.123  2468.89 ]
314894: 3060.0, 3059.997 -- [  187.997  2872.   ]
315043: 3060.0, 2395.275 -- [  177.065  2218.21 ]
315053: 3060.0, 931.5060000000001 -- [ 769.647  161.859]
315105: 3060.0, 2897.0147 -- [ 2804.53      92.4847]
315360: 3060.0, 1497.158 -- [ 1389.37    107.788]
315411: 3060.0, 837.7212000000001 -- [  37.5062  800.215 ]
315431: 3060.0, 1670.2649999999999 -- [  165.995  1504.27 ]
315541: 3060.0, 1276.699 -- [ 923.043  353.656]
315542: 3060.0, 958.0614700000001 -- [ 909.469     45.8106     2.78187]
315543: 3060.0, 3060.002 -- [ 2866.86    193.142]
315935: 3060.0, 2779.927 -- [  164.347  2615.58 ]
316286: 3060.0, 0.0 -- []
316441: 3060.0, 2535.94 -- [ 2348.03   187.91]
316504: 3060.0, 3060.0 -- [ 1238.  1822.]
316533: 3060.0, 799.958 -- [ 127.064  672.894]
316569: 3060.0, 2599.634 -- [  310.994  2288.64 ]
316662: 3060.0, 3059.9990000000003 -- [ 2933.11    126.889]
316902: 3060.0, 2708.7120000000004 -- [  179.202  2529.51 ]
317046: 3060.0, 3059.995 -- [ 2859.11    200.885]
317239: 3060.0, 3060.004 -- [  121.904  2938.1  ]
317715: 3060.0, 983.198 -- [ 105.39   877.808]
317726: 3060.0, 2527.21 -- [ 2353.05   174.16]
317948: 3060.0, 3060.0020000000004 -- [ 2886.28    173.722]
317983: 3060.0, 2915.085 -- [  102.575  2812.51 ]
317988: 3060.0, 2916.783 -- [ 2842.72     74.063]
318009: 3060.0, 2702.8650000000002 -- [  444.425  2258.44 ]
318043: 3060.0, 3059.997 -- [  214.857  2845.14 ]
318083: 3060.0, 2691.801 -- [  307.351  2384.45 ]
318158: 3060.0, 3060.002 -- [ 2744.17    315.832]
318195: 3060.0, 3060.0029999999997 -- [ 2857.14    202.863]
318459: 3060.0, 3059.997 -- [ 2794.93    265.067]
318498: 3060.0, 1282.3384999999998 -- [ 1188.32      94.0185]
318559: 3060.0, 1098.625 -- [ 155.781  942.844]
318576: 3060.0, 2941.6659000000004 -- [   91.9059  2849.76  ]
318757: 3060.0, 560.549 -- [ 207.223  353.326]
318987: 3060.0, 810.4534 -- [ 798.572    11.8814]
319020: 3060.0, 2796.177 -- [  186.087  2610.09 ]
319240: 3060.0, 2718.129 -- [ 2403.84    314.289]
319245: 3060.0, 1928.5032 -- [ 1886.89      41.6132]
319325: 3060.0, 2187.232 -- [  229.862  1957.37 ]
319427: 3060.0, 3059.998 -- [  195.338  2864.66 ]
319526: 3060.0, 2924.139 -- [ 2801.21    122.929]
319613: 3060.0, 1591.714 -- [ 1213.92    377.794]
319721: 3060.0, 3060.003 -- [ 2950.77    109.233]
319744: 3060.0, 3059.998 -- [  203.888  2856.11 ]
319917: 3060.0, 2607.6059999999998 -- [   33.836  2573.77 ]
319970: 3060.0, 3060.002 -- [  220.592  2839.41 ]
320151: 3060.0, 3060.003 -- [ 2871.81    188.193]
320464: 3060.0, 3060.001 -- [ 2905.42    154.581]
320523: 3060.0, 2885.766 -- [  175.946  2709.82 ]
320544: 3060.0, 2743.3199999999997 -- [  189.26  2554.06]
320570: 3060.0, 2786.525 -- [  275.86     20.915  2489.75 ]
320685: 3060.0, 2862.007 -- [  205.849   121.788  2534.37 ]
320695: 3060.0, 2714.583 -- [ 2396.1     318.483]
320864: 3060.0, 573.662 -- [ 320.659  253.003]
321032: 3060.0, 2143.604 -- [  214.734  1928.87 ]
321092: 3060.0, 3060.0 -- [ 2865.24   194.76]
321771: 3060.0, 821.6930000000001 -- [ 115.402  706.291]
321928: 3060.0, 2319.6875 -- [ 2065.74     192.662     61.2855]
321995: 3060.0, 3060.004 -- [ 2879.23    180.774]
322064: 3060.0, 3059.999 -- [ 2555.1     221.369   283.53 ]
322180: 3060.0, 1864.578 -- [ 1245.9     618.678]
322297: 3060.0, 3059.997 -- [ 2829.83    230.167]
322564: 3060.0, 1448.549 -- [  182.989  1265.56 ]
322566: 3060.0, 315.28330000000005 -- [  18.7363  296.547 ]
322673: 3060.0, 2597.4732999999997 -- [ 2583.64      13.8333]
322857: 3060.0, 3059.996 -- [  354.565   306.011  2399.42 ]
322952: 3060.0, 2479.66 -- [ 2071.79   196.2    211.67]
323033: 3060.0, 1439.202 -- [  103.712  1335.49 ]
323118: 3060.0, 3059.9990000000003 -- [ 2899.82    160.179]
323426: 3060.0, 2722.2709999999997 -- [ 2404.2     318.071]
323444: 3060.0, 2797.2909 -- [ 2764.43      32.8609]
323689: 3060.0, 2563.852 -- [  197.422  2366.43 ]
323695: 3060.0, 2152.069 -- [ 1884.48    267.589]
323745: 3060.0, 2841.7219999999998 -- [  262.662  2579.06 ]
323895: 3060.0, 3022.488 -- [ 2900.58    121.908]
324161: 3060.0, 3060.005 -- [  206.615  2853.39 ]
324201: 3060.0, 3059.9990000000003 -- [  274.889  2785.11 ]
324331: 3060.0, 2822.78 -- [  303.23  2519.55]
324333: 3060.0, 2072.914 -- [ 1855.67    217.244]
324493: 3060.0, 806.1009999999999 -- [ 275.984  530.117]
324607: 3060.0, 1872.65271 -- [ 1866.02        6.63271]
324651: 3060.0, 1330.9105 -- [ 1305.03      25.8805]
324769: 3060.0, 971.8720000000001 -- [ 157.378  814.494]
324864: 3060.0, 2377.237 -- [  170.697  2206.54 ]
324889: 3060.0, 2723.4649999999997 -- [  373.535  2349.93 ]
324925: 3060.0, 2909.7780000000002 -- [  101.768  2808.01 ]
324939: 3060.0, 1697.448 -- [  206.468  1490.98 ]
325001: 3060.0, 2245.3489999999997 -- [  231.009  2014.34 ]
325042: 3060.0, 2346.236 -- [  224.326  2121.91 ]
325126: 3060.0, 1754.088 -- [  192.878  1561.21 ]
325403: 3060.0, 2109.413 -- [ 1825.43    283.983]
325456: 3060.0, 907.9319 -- [ 495.782    64.7299  347.42  ]
325713: 3060.0, 3060.005 -- [  655.715  2404.29 ]
326215: 3060.0, 2757.343 -- [ 1916.12    841.223]
326265: 3060.0, 2812.85 -- [ 2363.85     61.588   387.412]
326411: 3060.0, 2477.111 -- [  524.921  1952.19 ]
326438: 3060.0, 1502.9843999999998 -- [   20.9044  1482.08  ]
326466: 3060.0, 3060.0 -- [  157.1  2902.9]
326798: 3060.0, 2204.446 -- [ 1300.77    903.676]
326831: 3060.0, 1495.655 -- [  480.345  1015.31 ]
326899: 3060.0, 2305.7458 -- [ 2283.51      22.2358]
326963: 3060.0, 164.72896 -- [   3.37396  161.355  ]
327061: 3060.0, 3060.003 -- [ 2847.15    212.853]
327086: 3060.0, 787.2659 -- [  65.0259  722.24  ]
327287: 3060.0, 1655.237 -- [ 1345.23    310.007]
327304: 3060.0, 1931.938 -- [ 1773.24    158.698]
327561: 3060.0, 3059.996 -- [  142.936  2917.06 ]
327706: 3060.0, 2753.738 -- [ 1921.51    832.228]
327752: 3060.0, 2831.0442 -- [   49.8242  2781.22  ]
327811: 3060.0, 2277.0730000000003 -- [ 2122.36    154.713]
327881: 3060.0, 2549.7960000000003 -- [ 1836.21    713.586]
328024: 3060.0, 2455.634 -- [ 2207.35    248.284]
328119: 3060.0, 3060.0 -- [ 2764.13   295.87]
328246: 3060.0, 1941.2350000000001 -- [ 1749.68    191.555]
328285: 3060.0, 2778.3 -- [  258.05  2520.25]
328311: 3060.0, 2912.562 -- [  198.842  2713.72 ]
328318: 3060.0, 2800.761 -- [ 2526.02    274.741]
328319: 3060.0, 3059.997 -- [ 2939.99    120.007]
328357: 3060.0, 2868.524 -- [ 2635.14    233.384]
328478: 3060.0, 3060.002 -- [  185.672  2874.33 ]
328702: 3060.0, 2682.15762 -- [ 2679.08        3.07762]
328828: 3060.0, 2071.2235499999997 -- [    2.54355  2068.68   ]
329010: 3060.0, 2455.4655000000002 -- [  338.48      71.9655  2045.02  ]
329017: 3060.0, 3027.9570000000003 -- [ 2574.63    453.327]
329215: 3060.0, 2829.975 -- [ 2714.86    115.115]
329380: 3060.0, 2249.633 -- [  103.093  2146.54 ]
329420: 3060.0, 2926.385 -- [ 2743.13    183.255]
329504: 3060.0, 2961.6281 -- [   32.8581  2928.77  ]
329782: 3060.0, 2531.567 -- [ 1631.27    900.297]
329869: 3060.0, 777.1771 -- [ 747.585    29.5921]
329959: 3060.0, 2694.777 -- [  109.857  2584.92 ]
330213: 3060.0, 3059.9970000000003 -- [  185.947  2874.05 ]
330366: 3060.0, 2646.96 -- [ 2598.36    48.6 ]
330383: 3060.0, 3059.9970000000003 -- [  108.157  2951.84 ]
331270: 3060.0, 2661.732 -- [  287.252  2374.48 ]
331271: 3060.0, 2121.8610000000003 -- [ 1898.38    121.725   101.756]
331283: 3060.0, 3060.004 -- [  270.134  2659.71    130.16 ]
331313: 3060.0, 2440.1556 -- [   98.0256  2342.13  ]
331338: 3060.0, 2461.2242 -- [  122.75     295.648     40.1762  2002.65  ]
331468: 3060.0, 2930.139 -- [ 2743.94    186.199]
331564: 3060.0, 1427.0866 -- [ 1357.78      69.3066]
331601: 3060.0, 3060.0009999999997 -- [ 2877.39    182.611]
331710: 3060.0, 2580.07 -- [ 2460.     120.07]
331996: 3060.0, 2787.805 -- [ 2242.22    545.585]
332149: 3060.0, 3059.9979999999996 -- [  226.548  2833.45 ]
332188: 3060.0, 2164.535 -- [ 1722.89    441.645]
332607: 3060.0, 1032.388 -- [ 111.834  920.554]
332615: 3060.0, 1145.9404 -- [   14.5104  1131.43  ]
332656: 3060.0, 2829.68 -- [ 1188.62  1641.06]
332863: 3060.0, 764.9416000000001 -- [  56.5016  708.44  ]
332912: 3060.0, 2755.8153 -- [ 2742.57      13.2453]
332997: 3060.0, 2229.1929999999998 -- [  136.723  2092.47 ]
333221: 3060.0, 1534.124 -- [ 1328.69    205.434]
333271: 3060.0, 3059.9970000000003 -- [  237.427  2822.57 ]
333353: 3060.0, 2916.877 -- [ 2790.19    126.687]
333485: 3060.0, 2672.3691000000003 -- [   69.5891  2602.78  ]
333859: 3060.0, 2779.366 -- [  406.546  2372.82 ]
333877: 3060.0, 1361.555 -- [ 1134.23    227.325]
333917: 3060.0, 2751.7219999999998 -- [  988.142  1763.58 ]
334151: 3060.0, 2311.9900000000002 -- [ 1597.42   714.57]
334341: 3060.0, 3025.259 -- [  279.449  2745.81 ]
334381: 3060.0, 2488.634 -- [  362.964  2125.67 ]
334589: 3060.0, 2781.188 -- [ 2656.42    124.768]
334712: 3060.0, 899.40588 -- [ 897.572      1.83388]
334803: 3060.0, 2829.427 -- [  410.897  2418.53 ]
334907: 3060.0, 3059.997 -- [ 2900.73    159.267]
334917: 3060.0, 1148.816 -- [ 251.005  897.811]
335302: 3060.0, 2303.6886 -- [   73.4986  2230.19  ]
335333: 3060.0, 2689.6926000000003 -- [ 2601.36      88.3326]
335497: 3060.0, 2797.48 -- [  104.03  2693.45]
335680: 3060.0, 2794.4792 -- [   18.7192  2775.76  ]
335733: 3060.0, 0.0 -- []
335909: 3060.0, 228.16910000000001 -- [ 173.008    55.1611]
335914: 3060.0, 3059.998 -- [  182.838  2877.16 ]
335939: 3060.0, 2638.955 -- [  140.375  2498.58 ]
336047: 3060.0, 1877.615 -- [ 1601.16    276.455]
336115: 3060.0, 2931.8269999999998 -- [  216.627  2715.2  ]
336273: 3060.0, 3059.9990000000003 -- [ 2953.38    106.619]
336332: 3060.0, 2012.3992 -- [   47.8992  1964.5   ]
336336: 3060.0, 3060.005 -- [ 2873.87    186.135]
336357: 3060.0, 3059.997 -- [ 2863.95    196.047]
336392: 3060.0, 438.067 -- [ 293.137  144.93 ]
336542: 3060.0, 1800.371 -- [  236.101  1564.27 ]
336630: 3060.0, 3060.003 -- [ 2863.07    196.933]
336770: 3060.0, 2934.15 -- [ 1297.15  1637.  ]
336788: 3060.0, 3060.0 -- [ 2463.61   596.39]
336880: 3060.0, 2911.29 -- [ 2810.29   101.  ]
337030: 3060.0, 2485.5442 -- [ 2441.48      44.0642]
337102: 3060.0, 3060.001 -- [ 2898.01    161.991]
337108: 3060.0, 2258.353 -- [ 2135.57    122.783]
337189: 3060.0, 2731.0550000000003 -- [ 2402.17    328.885]
337190: 3060.0, 1413.301 -- [ 447.753  965.548]
337228: 3060.0, 2845.6659999999997 -- [ 2217.18    628.486]
337318: 3060.0, 790.413 -- [ 225.233  565.18 ]
337482: 3060.0, 2304.8145999999997 -- [   27.6146  2277.2   ]
337607: 3060.0, 3060.003 -- [ 2771.75    288.253]
337632: 3060.0, 2851.088 -- [ 2275.11    575.978]
337641: 3060.0, 2962.6459999999997 -- [ 2651.72    310.926]
337757: 3060.0, 2654.333 -- [ 2473.78    180.553]
337798: 3060.0, 2924.83 -- [  175.83  2749.  ]
337934: 3060.0, 1530.75279 -- [    3.33679  1233.9       293.516  ]
338044: 3060.0, 3059.996 -- [  415.236  2644.76 ]
338117: 3060.0, 1808.6451 -- [   63.2951  1745.35  ]
338204: 3060.0, 2194.209 -- [  321.533  1741.62    131.056]
338213: 3060.0, 1454.319 -- [ 619.167  835.152]
338406: 3060.0, 1345.747 -- [ 1127.73    218.017]
338658: 3060.0, 2092.6929999999998 -- [  186.393  1906.3  ]
338696: 3060.0, 340.3234 -- [ 267.428    72.8954]
338724: 3060.0, 1636.5679 -- [ 1547.6       88.9679]
338790: 3060.0, 1599.8982 -- [   43.1682  1556.73  ]
338999: 3060.0, 2829.419 -- [ 2581.63    247.789]
339081: 3060.0, 2526.613 -- [  660.593  1866.02 ]
339358: 3060.0, 1576.59097 -- [    2.76097  1573.83   ]
339453: 3060.0, 930.7460000000001 -- [ 474.805  212.224  243.717]
339545: 3060.0, 3060.004 -- [  400.134  2659.87 ]
339620: 3060.0, 1184.315 -- [ 610.354  573.961]
339632: 3060.0, 1332.991 -- [ 1228.81    104.181]
339770: 3060.0, 556.225 -- [ 394.696  161.529]
340013: 3060.0, 2800.12 -- [ 1626.98  1173.14]
340133: 3060.0, 2721.479 -- [ 1864.86    856.619]
340152: 3060.0, 284.759 -- [ 165.128  119.631]
340426: 3060.0, 2743.02 -- [ 1715.96  1027.06]
340438: 3060.0, 1210.461 -- [ 458.285  752.176]
340470: 3060.0, 1053.00754 -- [    5.03754  1047.97   ]
340534: 3060.0, 3059.999 -- [ 2927.41    132.589]
340582: 3060.0, 3059.998 -- [  154.848  2905.15 ]
340596: 3060.0, 3060.002 -- [ 2848.99    211.012]
340712: 3060.0, 2037.247 -- [  193.117  1844.13 ]
340783: 3060.0, 1162.4299 -- [   74.7299  1087.7   ]
340858: 3060.0, 2954.4260000000004 -- [  249.356  2705.07 ]
340940: 3060.0, 732.4984 -- [  11.8814  720.617 ]
341003: 3060.0, 3060.001 -- [  358.767   211.654  2489.58 ]
341016: 3060.0, 832.374 -- [ 469.253  363.121]
341049: 3060.0, 768.915 -- [ 651.966  116.949]
341143: 3060.0, 2643.5471 -- [ 2630.08      13.4671]
341217: 3060.0, 1026.7884000000001 -- [ 936.34     90.4484]
341314: 3060.0, 2011.71 -- [ 1343.64   668.07]
341536: 3060.0, 2390.599 -- [   11.239  2379.36 ]
341588: 3060.0, 3060.002 -- [  132.622  2927.38 ]
341619: 3060.0, 2696.5820000000003 -- [ 2543.05    153.532]
341641: 3060.0, 3060.0 -- [ 2913.28   146.72]
341746: 3060.0, 89.78020000000001 -- [ 33.0405  56.7397]
341795: 3060.0, 910.4000000000001 -- [ 719.412  190.988]
342253: 3060.0, 2522.46 -- [ 1477.06  1045.4 ]
342446: 3060.0, 1029.5186999999999 -- [ 1028.05       1.4687]
342526: 3060.0, 2492.829 -- [  893.839  1598.99 ]
342657: 3060.0, 471.497 -- [ 149.599  321.898]
342875: 3060.0, 3060.004 -- [  471.094  2588.91 ]
342900: 3060.0, 502.78000000000003 -- [ 408.915   93.865]
342999: 3060.0, 2478.0930000000003 -- [ 2246.86    231.233]
343123: 3060.0, 1954.8353000000002 -- [   32.4153  1922.42  ]
343289: 3060.0, 2614.067 -- [ 2511.29    102.777]
343337: 3060.0, 1227.3782 -- [ 1189.64      37.7382]
343349: 3060.0, 1697.9209999999998 -- [ 1448.61    249.311]
